variable,group1_code,group2_code,group1,group2,n1,n2,U_stat,cliffs_delta,rank_biserial,ci_95%_lower,ci_95%_upper,ci,p_value,p_adj
Sleep related accidents,0,1,Normal,Mild,6930,7069,24551340.5,0.0023375235286396696,0.0023375235286396696,0.0006819891414600709,0.004057429069099744,"[0.0006819891414600709, 0.004057429069099744]",0.006330144018056447,0.01899043205416934
Sleep related accidents,1,2,Mild,Moderate,7069,3657,12894434.0,-0.0024163164042643372,-0.0024163164042643372,-0.004824187402637999,-0.0004771707516977945,"[-0.004824187402637999, -0.0004771707516977945]",0.012058336880171503,0.024116673760343006
Sleep related accidents,2,3,Moderate,Severe,3657,2882,5280789.0,0.0020972583641270903,0.0020972583641270903,0.0003817695266386159,0.004470481638837003,"[0.0003817695266386159, 0.004470481638837003]",0.11779534252533136,0.11779534252533136
Sleepiness performance,0,1,Normal,Mild,6930,7069,25941128.5,0.05907726293919532,0.05907726293919532,0.041195358491652165,0.07492124629272741,"[0.041195358491652165, 0.07492124629272741]",9.224542301660788e-10,2.7673626904982366e-09
Sleepiness performance,1,2,Mild,Moderate,7069,3657,13410896.5,0.03754003710369597,0.03754003710369597,0.016828802406436836,0.06143927375040969,"[0.016828802406436836, 0.06143927375040969]",0.001208671786156341,0.002417343572312682
Sleepiness performance,2,3,Moderate,Severe,3657,2882,5350827.0,0.01538786470747971,0.01538786470747971,-0.011127958093544327,0.041720998125712894,"[-0.011127958093544327, 0.041720998125712894]",0.27700329078497676,0.27700329078497676
Sleep get going,0,1,Normal,Mild,10462,9554,47626846.5,-0.047024205587156996,-0.047024205587156996,-0.06237656915762847,-0.030694519189977374,"[-0.06237656915762847, -0.030694519189977374]",2.906325555033188e-09,8.718976665099564e-09
Sleep get going,1,2,Mild,Moderate,9554,4840,23345756.0,0.009734834788596183,0.009734834788596183,-0.010124398374096264,0.03135470712799102,"[-0.010124398374096264, 0.03135470712799102]",0.327841087071871,0.655682174143742
Sleep get going,2,3,Moderate,Severe,4840,3889,9443974.5,0.0034633071876812964,0.0034633071876812964,-0.017976684875119272,0.02738023408894338,"[-0.017976684875119272, 0.02738023408894338]",0.7753231636406057,0.7753231636406057
Problem going to sleep at night,0,1,Normal,Mild,6681,6874,24258975.5,0.05645609248814496,0.05645609248814496,0.040686864599853406,0.07640090317310361,"[0.040686864599853406, 0.07640090317310361]",5.888710342921424e-09,1.7666131028764272e-08
Problem going to sleep at night,1,2,Mild,Moderate,6874,3531,12563781.5,0.035244960735567356,0.035244960735567356,0.01506520512816076,0.055643062769944775,"[0.01506520512816076, 0.055643062769944775]",0.0025342553222019275,0.005068510644403855
Problem going to sleep at night,2,3,Moderate,Severe,3531,2812,5099896.0,0.027255042011559472,0.027255042011559472,0.002185801595540897,0.051557272348590595,"[0.002185801595540897, 0.051557272348590595]",0.0553733234462801,0.0553733234462801
Problem waking up during night,0,1,Normal,Mild,6614,6781,22928325.5,0.022455461856080824,0.022455461856080824,0.006928611565952949,0.03928511943959104,"[0.006928611565952949, 0.03928511943959104]",0.020784992122765678,0.033961330766648326
Problem waking up during night,1,2,Mild,Moderate,6781,3459,12165662.0,0.03734074243378274,0.03734074243378274,0.01878466540802684,0.059643487775286955,"[0.01878466540802684, 0.059643487775286955]",0.0014603044874154567,0.00438091346224637
