variable,group1_code,group2_code,group1,group2,n1,n2,U_stat,cliffs_delta,rank_biserial,ci_95%_lower,ci_95%_upper,ci,p_value,p_adj
Age,0,1,Normal,Mild,10462,9554,33320856.5,-0.333,-0.333,-0.346,-0.320,"[-0.34560061249406576, -0.32047003486045395]",0,0
Age,1,2,Mild,Moderate,9554,4840,20768957,-0.102,-0.102,-0.119,-0.081,"[-0.11908574488293597, -0.08069939389758436]",1.74E-23,3.47E-23
Age,2,3,Moderate,Severe,4840,3889,9155318.5,-0.027,-0.027,-0.044,-0.007,"[-0.043749574982627416, -0.0066465677722077]",0.028621146,0.028621146
Bmi,0,1,Normal,Mild,10462,9554,37679800.5,-0.246,-0.246,-0.259,-0.229,"[-0.2593381794183858, -0.22946767195228748]",1.33E-199,3.98E-199
Bmi,1,2,Mild,Moderate,9554,4840,21801776.5,-0.057,-0.057,-0.077,-0.038,"[-0.07688457205843427, -0.03844762080959558]",2.08E-08,2.08E-08
Bmi,2,3,Moderate,Severe,4840,3889,7959649.5,-0.154,-0.154,-0.181,-0.135,"[-0.1813813051327223, -0.1349843447507167]",2.13E-35,4.27E-35
Race,0,1,Normal,Mild,10462,9554,51149763.5,0.023,0.023,0.010,0.036,"[0.010248825289022101, 0.03597839627105073]",0.000362676,0.001088028
Race,1,2,Mild,Moderate,9554,4840,23365958.5,0.011,0.011,-0.005,0.027,"[-0.004943063958326485, 0.026600876358307785]",0.189026789,0.189026789
Race,2,3,Moderate,Severe,4840,3889,9666072.5,0.027,0.027,0.012,0.044,"[0.012404632742488349, 0.044036501554501034]",0.005020622,0.010041244
Ep.reading,0,1,Normal,Mild,10462,9554,46362035.5,-0.072,-0.072,-0.087,-0.057,"[-0.08670706983980263, -0.056786119893933555]",5.57E-20,1.67E-19
Ep.reading,1,2,Mild,Moderate,9554,4840,22849550.5,-0.012,-0.012,-0.031,0.003,"[-0.030650567478984182, 0.0034715950179665983]",0.232717351,0.297350413
Ep.reading,2,3,Moderate,Severe,4840,3889,9248336,-0.017,-0.017,-0.042,0.005,"[-0.04226535322131292, 0.0047768977556957495]",0.148675206,0.297350413
Ep.watching tv,0,1,Normal,Mild,10462,9554,45880134,-0.082,-0.082,-0.095,-0.066,"[-0.09506574717789036, -0.06572635505102811]",1.96E-25,5.89E-25
Ep.watching tv,1,2,Mild,Moderate,9554,4840,22712100,-0.018,-0.018,-0.031,-0.001,"[-0.030995711415062188, -0.0009766337971028563]",0.070096742,0.070096742
Ep.watching tv,2,3,Moderate,Severe,4840,3889,9151316,-0.028,-0.028,-0.049,-0.008,"[-0.04924723844962162, -0.007780405211563027]",0.020217498,0.040434995
Ep.sitting quietly,0,1,Normal,Mild,10462,9554,47778373.5,-0.044,-0.044,-0.058,-0.028,"[-0.058092896190553675, -0.027837873147341825]",1.04E-08,3.12E-08
Ep.sitting quietly,1,2,Mild,Moderate,9554,4840,23086505,-0.001,-0.001,-0.023,0.020,"[-0.022978600759147223, 0.019800940651399517]",0.8779963,0.8779963
Ep.sitting quietly,2,3,Moderate,Severe,4840,3889,8973429,-0.047,-0.047,-0.073,-0.022,"[-0.0725675445577588, -0.021708256387479846]",8.00E-05,0.000160038
Ep.car passenger,0,1,Normal,Mild,10462,9554,50027016,0.001,0.001,-0.015,0.019,"[-0.014522443875853708, 0.01897302895929632]",0.898812334,0.898812334
Ep.car passenger,1,2,Mild,Moderate,9554,4840,23699856,0.025,0.025,0.009,0.042,"[0.009211215349202533, 0.042289353081310745]",0.010704097,0.032112292
Ep.car passenger,2,3,Moderate,Severe,4840,3889,9137557,-0.029,-0.029,-0.048,-0.002,"[-0.047551055211881785, -0.0022808783090259165]",0.015133071,0.032112292
